timestamp,hobbs_start,hobbs_end,tach_start,tach_end,cycles,oil_pressure_min,oil_pressure_max,oil_temp_max,cht_max,egt_max,fuel_used_gal,route,pilot_notes
2024-01-14T13:00:00,4651.0,4654.2,4278.9,4281.9,1,68.0,80.0,188,372,1318,26.2,KPHX-KPRC-KPHX,
2024-01-26T13:00:00,4654.2,4655.7,4281.9,4283.2,1,68.0,80.0,182,355,1295,12.3,KPHX local,
2024-02-08T13:00:00,4655.7,4657.9,4283.2,4285.3,1,68.0,80.0,186,396,1328,18.0,KPHX-KCHD-KPHX,CHT #3 running ~30°F above other cylinders in cruise — 395°F vs 365°F others at 8500ft. Filed squawk SQ-2024-CHT3.
2024-02-13T13:00:00,4658.5,4659.8,4285.8,4287.0,1,68.0,80.0,183,358,1302,10.7,KPHX local,Spark plugs cleaned after squawk — CHT equal all cylinders. SQ-2024-CHT3 resolved.
2024-03-10T13:00:00,4659.8,4663.0,4287.0,4290.0,1,68.0,80.0,190,378,1322,26.2,KPHX-KPRC-KPHX,
2024-03-22T13:00:00,4663.0,4665.5,4290.0,4292.3,1,68.0,80.0,192,382,1330,20.5,KPHX-KTUS-KPHX,
2024-04-06T13:00:00,4665.5,4669.8,4292.3,4296.2,1,66.0,82.0,208,415,1368,35.3,KPHX-KFLG-KPHX,"DA ~6500ft at KFLG. Long ground roll on 21. CHT peaked 415°F on climb, normalized to 385°F at cruise altitude (9500ft). Density altitude effects notable — performance reduced as expected."
2024-04-20T13:00:00,4669.8,4671.2,4296.2,4297.5,1,68.0,80.0,185,361,1298,11.5,KPHX local,
2024-05-05T13:00:00,4671.2,4674.5,4297.5,4300.5,1,68.0,80.0,198,383,1335,27.1,KPHX-KPRC-KPHX,
2024-05-19T13:00:00,4674.5,4678.3,4300.5,4304.0,1,68.0,80.0,205,391,1341,31.2,KPHX-KSEZ-KPHX,
2024-06-04T13:00:00,4678.3,4679.9,4304.0,4305.5,1,68.0,80.0,214,388,1342,13.1,KPHX-KPRC,"OAT 106°F on ground at KPHX. Oil temp peaked 214°F on initial climb, normal at cruise altitude. CHT normal."
2024-06-20T13:00:00,4679.9,4681.5,4305.5,4307.0,1,68.0,80.0,210,384,1338,13.1,KPRC-KPHX,
2024-07-04T13:00:00,4681.5,4682.8,4307.0,4308.2,1,68.0,80.0,208,379,1328,10.7,KPHX local,July 4 morning flight — OAT 98°F. All normal.
